contextID,citationID,CONTENTS,LABELS
128160927,145164472,"algorithms, sensor nodessassume different roles. Here, we briefly review the mostsnotable example of hierarchical multi-hop routing algorithms,sdubbed Low-Energy Adaptive Clustering Hierarchy (LEACH)s=-=[10]-=-, as an example for explanation. LEACH is a two-layeredshierarchical multi-hop routing algorithm. Each node can takeson the role of a Cluster Head (CH) or Cluster Member (CM).sIn addition, each node?s",UNK_UNK
78441397,80720246," a common factor since the standard BCG algorithm, which will be discussed in Sect. 3, makes use of it. Note that (2.15) implies in view of (2.13) that (2:16) n = n;1 n= n;1 : Another frequent choice =-=[8, 20, 37, 51, 58]-=- is (2:17) c n := n;1 ? c n;1 := n? i.e., T c := T H ? which according to (2.13) yields n = 1. Clearly the choice of n only a ects the scaling (including, possibly the sign, or rather the argument of ",UNK_UNK
23812348,22803777,"a. There are a large number of algorithms for solving classification talks. The most popular approaches are algorithms that inductively construct decision trees. Examples are ID3 [58], CART [19], ID5 =-=[78, 79]-=-, C4.5 [59], SLIQ [54], and SPRINT [66]. In addition there are approaches that use neural networks, genetic algorithms or Bayesian networks to solve the classification problem. Since most algorithms w",UNK_UNK
29120718,28404426," operation. All previous approaches are either limited in scope or do not take advantage of the sequential nature of the design. SAT and BDD sweeping are two early algorithms based on merging signals =-=[4, 5, 6, 7, 8, 9]-=-. These algorithms attempt to prove that pairs of signals are combinationally equivalent and then merge the pairs successfully proved. These algorithms are used extensively in modern synthesis and ver",UNK_UNK
86538894,90452191,"orrespondence estimation algorithm and a fast Laplacian mesh deformation scheme to capture both motion and surface deformation of the actor from the input video footage (see Figure 7(g)). Wang et al. =-=[42]-=- developed an efficient and intuitive deformation technique for virtual human modeling by silhouettes input. With their method, the reference silhouettes and the target silhouettes are used to modify ",UNK_UNK
132034367,150290182,"and Adleman proposed a concrete realization that works for encryption as well as for digital signatures: the so-called RSA algorithm [26]. RSA has withstood years of extensive cryptanalysis (see e.g. =-=[4]-=-) and is still the most widely deployed and used public-key cryptosystem. The security of RSA relies on the problem of factoring large numbers, or more exactly, on the problem of computing roots modul",UNK_UNK
34275000,34300970,"t operations. However, many distributed algorithms require the ability to ",UNK_UNK
6706122,6437097,"ts in two applications. The first is a new algorithm for computing the iterated dominance frontier of a set of vertices in a graph, which can be used to construct representations such as the SSA form =-=[7]-=- and Sparse Evaluation Graphs [5]. The second is a new algorithm for constructing the dominator tree [11] of a graph. The new algorithms run in almost linear time. The primary contributions of the pap",UNK_UNK
178199100,205333443,"he theoretical one obtained in silico from protein, genomic, ESTs sequence, or MS spectra databases. For that purpose, different instrumentation, algorithms, databases, and repositories are available =-=[178, 179]-=-. Journal of Biomedicine and Biotechnology 13 Different strategies and algorithms can be used for protein identification (i) including peptide mass fingerprinting (PMF, only valid if the protein seque",UNK_UNK
36758804,38088946,"ifferent subspace constructions are outlined below. Digital images are converted into vectors by scanning in raster order. 4.1 Eigenfaces (PCA) This is perhaps the most popular algorithm in the field =-=[11]-=-, [12], [13] and it is a technique commonly used in dimensionality reduction in computer vision and particularly in face recognition. PCA techniques, also known as Karhunen-Loeve methods, choose a lin",UNK_UNK
9884199,9339009,"f the period of a PC process (see [74]), and of the frequencies ff of an APC process, and the determination of their relative importance is also of current interest. The works of Dragan and Yavorskiy =-=[21, 22, 23, 89] als-=-o treat these problems. For a discussion of computationally efficient algorithms for estimation of B ff (??) and g ff (), see the article by Roberts et al. [80]. Additional problems for APC proces",UNK_UNK
85360716,89012893,"itioning with a point matrix for the algorithms to be effective (Hansen & Walster, 2004; Neumaier, 1990). Other frequently used methods are those based on the Rump/Krawczyk iteration (Krawczyk, 1969; =-=Rump, 2001-=-). An important issue was to define the narrowest interval vector containing the solution set ? (A, b). This interval vector is called the hull of the solution set. Determining the hull is a problem t",UNK_UNK
20483896,19283039,"d for partitioning. This contradicts v ? ? S. Since G is prime, S cannot exist and every nonsimplicial vertex must be marked by the algorithm. The O(n + m) complexity comes from an amortized analysis =-=[22]-=-. The clique tree and the intersection of all pairs of adjacent maximal cliques can be obtained in linear time. When we traverse the clique tree, whenever an edge is passed, every vertex recorded in t",UNK_UNK
193982171,227990860,"swered in my paper [7], which establishes an 0(\\/nL) iteration-complexity boundsfor the short-step path following algorithm based on any direction of the Kojima,sShindoh and Hara family.sIn the paper =-=[6]-=-, Tsuchiya and I develop a new class of (feasible) primal-dualsinterior-point path following algorithms for semidefinite programming (SDP) whosessearch directions are obtained by applying Newton metho",UNK_UNK
126576370,143068352,"e ME approach. Multinomial logit: this function was originally proposed by Jacobs et al. (1991) and Jordan and Xu (1995) and can be fitted via the iterative reweighted least squares (IRLS) algorithm (=-=McCullagh and Nelder, 1989-=-). In our case gh(wj,?h)= exp(v T h wj)?H h=1 exp(vTh wj) , h=1,...,H, where vh is a variable weight vector for each expert. The multinomial logit function is well adapted in our case to deal with dif",UNK_UNK
26936090,26207601,"c into multiple paths: both network throughput and message delay can be improved [5], [16], [17]. Solution techniques for multipath routing include heuristic methods [11] as well as optimal ones [4], =-=[10]-=-, [13], [23]. Some ideas of these routing algorithms have been absorbed in recent versions of Internet protocols. For example, OSPF distributes traffic over paths that have (almost) equal length [19].",UNK_UNK
108712357,119981883,"larger than, say,s100,000. This over demanding in memory requirementscauses the main difficulty in training SVMs.s2.2. SMO and Decomposition AlgorithmssThe main idea of decomposition algorithms, e.g. =-=[7, 8, 9,s10]-=-, is to break down the QP problem (1) of size l into asseries of much smaller QPs, and iteratively performsoptimization on these sub-problems. In each iterationsdecomposition algorithms divide l train",UNK_UNK
20521396,19319047,"hat the cardinality of V is very large (several million vertices), and that each shortest path request must be answered in a few seconds, current technology does not allow us to find an exact optimum =-=[5]-=- in the brief time window before the next change of the weight function (if one removes the constraints on c changing every few minutes, some practically efficient algorithms are [18,10]). We assume s",UNK_UNK
113291031,126011401,"te differences and backward Euler schemes are introduced. To solve the resulting discrete optimality systems, space-time multigrid schemes formulated in the full approximation storage (FAS) framework =-=[7]-=- are defined in Section 3, where a space-time smoother is presented and the a multigrid receding horizon algorithm is defined. The smoothing property of the proposed relaxation scheme is analyzed in S",UNK_UNK
