contextID,citationID,clean__citation_context,UTILIZE_LABELS,USAGE_LABELS
201812479,239402553,"we only use features that appear 64 at least 10 times in a particular domain adaptation task (with approximately 40, 000 features remaining). further, we pre-process the data set with standard tf-idf feature re-weighting. methods. we compare the three algorithms we introduced in 2.2.4, 2.2.5 and 2.2.6 respectively with one baseline method and three state-of-the-art domain adaptation algorithms. 1",UTILIZE,USE
71744502,70816119,"mages to results obtained on the same images when artificial gaussian noise is added. this is (the common way) to simulate increased noisy data. abutaleb s higher-order entropy binarisation algorithm is used to assist the comparison between the three operators. section 2 introduces the basic concepts of our paper, including a summary of the edge detectors used. section 3 covers which data we use",UTILIZE,USE
2425216,2559169,n also be used to discover new training examples. zhang and veenker 288 described an active learning paradigm where a training algorithm based on ea s can self-select training examples. cho and ch posed another algorithm for evolving training sets by adding virtual samples. b. ann as fitness estimator ea s have been used with success to optimize various control parameters 290 292 . howev,NOTUTILIZE,MENTION
59388362,58638108,"ts. namespace size, while some of the results were recently rederived by attiya and paz 11 using counting arguments. significant effort went into obtaining efficient deterministic algorithms, e.g., . we refer the reader to 16 for a survey of deterministic and long-lived solutions. panconesi et al. 32 were the first to use randomization, and gave an algorithm guaranteeing a namespace of size",NOTUTILIZE,MENTION
202628325,240572660,"results were reported. in this section, we propose a new stln-based algorithm for approximate polynomial decomposition in order to solve equation (12) using the iterative methods proposed in 22 and to find a rank deficient ruppert matrix the associated polynomial of which is close to a given nondecomposable polynomial. this method requires solving a simple quadratic optimization problem at each",UTILIZE,USE
96367369,91143100,"dissimilar. we will use the results obtained in tst., thus defining the control algorithm as the best-performing algorithm (which obtains the lowest value of ranking, computed through a friedman test ). in order to test whether significant differences exist among all the mean values, we use iman and davenport",NOTUTILIZE,NOTALGO
17860066,19042323,"efficiency compared to the full mle. for bicast schemes, the resulting algorithm has third-order polynomial complexity, a substantial improvement over the full bicast mle. the heuristic algorithm in is based on solving higher order polynomials and is much faster. however, it uses only part of the data and is quite inefficient. the pseudo-likelihood method of 9 uses only data from all pairs of",NOTUTILIZE,MENTION
660715,706373,"search over sequence space. indeed, hart raised the computational tractability of computing an optimal sequence, with respect to a 2 three-dimensional geometric target structure, as an open question . we resolve this question by providing an e cient algorithm to find optimal protein sequences in the general gc model with respect to a three-dimensional geometric structure. our algorithm has a runn",NOTUTILIZE,NOTALGO
73998158,72813949,"zos iteration a krylov subspace method of lanczos 161 for solving symmetric eigenvalue problems; see also bai et al. 16 . described in section 4.1. tfqmr the transpose-free qmr algorithm of freund , a krylov subspace method for solving nonsymmetric linear systems. tsp traveling salesperson problem, a problem in combinatorial optimization, namely, to find the shortest path between a set of verti",NOTUTILIZE,MENTION
203001566,241111603,"al) max a f , ..a t 8: end if end elements. to build a tournament, we prepare root node and run algorithm 11 by executing tournament(root,1,n). when the computation completes, root.val is max a , ..a n . counting from the leaf level, the number of nodes are halved each level such that n n 2 ... 1, the total number of nodes are o(n), meaning that it takes o(n) to find the maximum. it may be",UTILIZE,USE
8390289,8831889,"e manifolds. fig. 8 demonstrates that this property also holds for the 5-dof spatial manipulator considered in this example. the critical value manifolds are computed using the algorithm described in and are depicted in a solid line. the bold part of the critical value manifolds is the boundary of the ftws. as a second example, consider an 8-dof manipulator, with d-h parameters listed in table 4.",UTILIZE,USE
20653240,21854785,"ne schedule could be asymptotically close to the optimal makespan as can be seen from the performance guarantee of ls. in section 3, we give off-line upper bound results. by extending graham s result on lpt , we show that lpt is an (m; k)-machine (maxf 4m k gamma 13m 3k ; 1g)-approximation algorithm. this implies that lpt is (m; k)-optimal when k m gamma 12 ; that is, if lpt has at least 3m gam",NOTUTILIZE,MENTION
10001598,10616351,"we use an algorithm which combines regular (red) and irregular (green) mesh refinement as introduced for 2d meshes by bank et al. 1 and its extension to three dimensional tetrahedral meshes of bey and go ong 8 . these refinement algorithms are carried out in three steps. first, a refinement rule for a single element has to be defined, such that successive refinements produce stable and consis",UTILIZE,USE
42565410,40912736,"nd elimination of redundant functional dependencies from the initial set. detailed description of these algorithms is way beyond the scope of this text. that information can be found in, for instance . it is important to note that the decomposition method guarantees better normal form than the synthesis method. it guarantees that the resulting database will be in the boyce-codd normal form, while",NOTUTILIZE,MENTION
65678909,64451832,"ction in 15 , 17 , as sift has been widely demonstrated successfully for multiple computer vision applications. recent extensions of the basic sift algorithm have been developed by ke and sukthankar by applying principal component analysis (pca) to the sift feature descriptor, which demonstrate a significant improvement in computational performance and improvements in object recognition performa",NOTUTILIZE,MENTION
8590581,9049166,"e this distribution to obtain a new population. the framework we propose can be extended in several ways. a theoretical framework for the extension to larger alphabets (not only f0; 1g) is studied in , based on earlier work of vose. one of the goals of the present paper is to bring several existing tools together and for this we use fourier analysis. in 14 it is shown that fourier analysis can b",NOTUTILIZE,MENTION
9773647,10367738,. then the offspring is mutated to provide the evolutionary algorithm with the necessary power of exploration. if a 0 is an offspring of a: fi a 0 u fi a (1 gammasfi ); fi a (1 sfi ) wheresfi 2 is a parameter and u is the uniform distribution. the values of fi are clipped to fi max to maintain some exploratory behavior. the neural net is mutated by adding random noise to a fraction i w of t,NOTUTILIZE,NOTALGO
20275711,21499240,"r example, mva for fixed-rate servers and convolution for queue-dependent servers. in this case normalization constants are needed and can be computed from the outputs of the mva algorithm, using eq. , for example. dynamic scaling will then be necessary. we have also considered bcmp networks with external arrivals, departures, and population size constraints. we have shown that the class local bal",NOTUTILIZE,MENTION
16004066,17123303,"works only for the cubic lattice, but not for the fcc-lattice which is much better suited for modeling real protein conformations. the second improvement is the appearance of approximation algorithms for different lattice models. despite their indisputable merits, their approximation ratio is still too weak to be used in practice. an approach of predicting structures using a fcc lattice-model and",NOTUTILIZE,MENTION
14280677,15316689,"for the source to receive rrep and enter the final state is 1 ppolyfail 1 (n). 13sanother proof of theorem 2 using chernoff bounds is available in standard cryptography literatures, such as . therefore, by definition 6, such a protocol implementation with ideal forwarding communities is in gvg rp. discussion: from ideal to practical a major contribution of this paper is to show the exi",NOTUTILIZE,NOTALGO
53131348,52659089,"iques are general primary sequence alignment algorithms with probabilistically based scoring systems for example, the blast 13 , fasta 14 , or clustalw 15 algorithms, and the pam 16 or blosum score matrices. unlike specialized programs, a general alignment algorithm can be applied to find homologs of any query sequence(s). unlike pattern searches, which give yes no answers for whether a c",NOTUTILIZE,MENTION
11927818,12766931,teresting question whether or not we could adapt their algorithms for our context to replace the periodic index reconstruction approach. another work worth mentioning here is that of shekhar and yang in which they address the issue of mobility in a geographic system. their index is called mobile file and maps the two-dimensional space of motion to the disk tracks and sectors while attempting to p,NOTUTILIZE,MENTION
22054879,23132446,"gent instances of this problem, with up to 30 departments, were solved to proven optimality using vast amounts of computational power and important improvements in mathematical programming algorithms . two types of approaches for finding provably optimal solutions for the flp have been proposed in the literature. the first type are graph-theoretic approaches that assume that the desirability of lo",NOTUTILIZE,MENTION
8026738,8428792,"h a fixed fraction fi 0 is computed, and the next iterate x k 1 is determined by x k 1 x k d k , wheres1 is a constant which depends on the curvature of the objective function. as in his paper ergence result of 36 is restrictive in the sense that the step-length has to be small, namely o( quot;), to insure that the algorithm finds an quot;-optimal solution. gonzaga 13 studies a trust r",NOTUTILIZE,MENTION
40250731,38788733,"ed approaches, while still producing similar results. even faster graph layout algorithms are available in the form of algebraic layouts, such as algebraic multigrid computation of eigenvectors (ace) or high dimensional embedding (hde) 15 . these algorithms calculate layouts immediately using linear algebra techniques rather than iteratively or recursively laying out graphs according to force ca",NOTUTILIZE,MENTION
13720422,14721622,"both to better describe data, and to more efficiently run inference algorithms. there has been almost no connection made between our own community s powerful data-reduction techniques, like sketches , and statistical inference algorithms like junction trees 21 or loopy belief propagation 20 . this is a rich area for algorithmic investigation that arises naturally in , where statistical infere",NOTUTILIZE,MENTION
29492019,30163780,"heir results showed that isotonic outperformed c4.5, robust lp-p, and svm gaussian kernel. the adaboost technique has been reported to be low in error rates performing well in the low noise data set ( , ma and ding 2003). hear it, a successor of the boosting algorithm, is used to combine a set of weak classifiers to form the models with higher prediction outcomes (ma and ding 2003). however, it suf",NOTUTILIZE,MENTION
8239344,8664111,"e fact that ; r are total functions inverting a pairing function is easily stated in l theta , as shown in the first two lines of figure 3. most of the remaining axioms of figure 3 were obtained in from those of a standard first-order axiomatization of the peano arithmetic (cf., e.g., 13 ). this task was achieved with the help of the graph-thinning algorithm outlined above. the last item in fi",NOTUTILIZE,NOTALGO
15742619,16854416,"eciding fully existentially quantified formulas. 6sthere are two algorithmic techniques that we are aware of for simplification of large quantifier-free formulas, that described in dolzmann and sturm and implemented in redlog, and that described in brown (2001) and implemented in the slfq system brown (2002). the goals of the two methods are very different. the former is intended primarily to com",NOTUTILIZE,MENTION
69047867,67815803,"se additional free parameters cause an increase in the statistical error of about 20 . to test the robustness of our algorithm, we use a sample of lepton tagged, partially reconstructed d l decays . events are selected from the same data sample of 140 fb 1 . since semileptonic b decays are flavour 11asymmetry 1.5 1 0.3 0.2 0.1 0 -0.1 asymmetry 1.5 1 0.3 0.2 0.1 0 -0.1 0.5 -0.2 -0.3 -0.1 -0.05",UTILIZE,USE
32561868,32916364,"he major issue anticipated in the extension of the algorithm to 3-d would be the high computational cost, which can be tackled by incorporating accelerating methods, such as the fast marching methods",NOTUTILIZE,MENTION
7485283,7832244,"tees available to network applications. the realization of these schemes requires advances in traffic specification 39, 43 , resource reservation 44 , resource mapping 45-47 and admission control , scheduling algorithms 4 39, 51-54 and queue management 55 , along with various other control and management mechanisms such as traffic policing. pricing design for multi-service networks has also",NOTUTILIZE,MENTION
14379641,15422148,"lities equal to their weights in the averager s approximation of s . model-free rl algorithms iterate over a given sample of data to achieve a degree of stability while using function approximation . the fixed sample contains implicit knowledge of the mdp that generated the data. this section describes an approach that explicitly defines an approximate model from a sample, permitting the applica",NOTUTILIZE,MENTION
11910579,12747383,"ail in the following sections. 3.2.1 shape modeling shape deformations of the region being modeled (e.g., the face or lips) can be described compactly using the eigenspace of a set of landmark points . in this implementation, landmark points are identi ed on the set of training images by hand. these points are chosen to approximate the shape of interest as a polygonal (dot-to-dot) model. the numbe",NOTUTILIZE,MENTION
32946155,33206597,"3.1 lempel-ziv compression algorithms. the data representation used here is based on the original version of the lempel-ziv source coding algorithm 35 and its extension proposed by bender and wolf , hereafter referred to as the bender-wolf algorithm. in order to make this paper self-contained, we briefly explain these algorithms below. consider a sequence of n symbols s 1,n (s1,s2,s3,..., sn",NOTUTILIZE,MENTION
15781887,16895460,"ity ( a1 a2 2 ). theorem 5. the l2p distance of unambiguous probabilistic automata can be computed exactly in time o(2p a1 3 a2 3 ). note that this theorem significantly improves the result of , which is exponential in p. thus, for unambiguous automata, our algorithms are, to the best of our knowledge, the only polynomial time algorithms for computing the l2p distance exactly. for the compu",NOTUTILIZE,MENTION
8820597,9304726,"s in the design of complex systems. specifications are property-oriented descriptions, while programs are executable descriptions of an algorithm. we use two specification formalisms, the -calcu and maude 25,28 for the object-oriented specification of concurrent systems. maude has been developed especially for the object-oriented specification of concurrent systems. the rewriting calculus",UTILIZE,USE
78865489,76845310,"he proof for one sided error algorithms is given in 1 , and an extension for two sided algorithms is described in 3 . a similar application of these graphs for testing induced h-freeness appears in , and yet another very recent application showing that testing graph-perfectness requires a super polynomial number of queries appears in 2 . the above graphs have also been applied by h astad and wi",NOTUTILIZE,NOTALGO
20193943,21416669,mutation is better. one of our major concern is to find an algorithm that can resolve this scalability problem. another issue that our algorithm does not address is the network delay. this is done in where the authors map quorum onto a physical network with a fixed topology. however they left as an open problem to take into account the service time. we do the opposite and we didn t use the networ,NOTUTILIZE,MENTION
44847711,43771707,"our maps have stacky structure only at the nodes and marked points. to allow for the above correspondence, one needs to extend the notion of the space of twisted stable maps as defined in av02 and so that our twisted curves have generic stabilizers. we approach this problem in three steps: (1) construct the stack gx of",NOTUTILIZE,MENTION
68575998,67208045,"t step to prove the strong cosmic censorship. for (q1), to construct solutions satisfying the initial condition of paradigm-a, we will use the fuchsian algorithm developed by kichenassamy and rendall . it is interpreted that the class of solutions we are looking for here is a subclass of asymptotically velocity-terms dominated (avtd) singular solutions since potential terms are neglected near the",UTILIZE,USE
33835262,33879925,ne. memetic algorithms like iterated local search also fall into this category as they combine mutation and local search. their usefulness so far has only been proven for artificial problems (sudholt ). another common strategy is to restart the algorithm after convergence to local optima. this can be seen as a very large perturbation and hence falls into the third category. 1.2 variable-depth sear,NOTUTILIZE,NOTALGO
39615296,38171837,"p 12 . in this paper, we further extend these heuristics to tackle mcarp. as mentioned in 12 , the extended arc-to-arc distance matrix is employed to handle forbidden turns and dijkstra s algorithm is applied to precompute the shortest feasible path between all pairs of arcs. a. extended random path-scanning the extended random path-scanning (erps) constructs one tour at a time. when constructi",UTILIZE,EXTEND
89681936,85882613,"a station that observes a packet tap at an isp and injects traffic when it detects tagged connections. our station code is written in approximately 1,300 lines of c, using libevent, openssl, pf ring , and forge socket 2 . 7.1 client implementation our client is written in approximately 1,000 lines of c using libevent 29 and openssl 36 . the client currently takes the domain name of the decoy s",NOTUTILIZE,NOTALGO
30123011,30837525,"opers. by using this commit information, we can see which developers were collaborating and on which files. further details of the email and repository mining processes can be found in our prior work . 4.3 finding community structure to find and quantify the latent community structure that exists in the oss networks, we have created a variant of the newman algorithm 3 50 . the goal is to partitio",NOTUTILIZE,NOTALGO
154470543,135810598,"n and un to be minimized. as a heuristic algorithm to solve the encoder problem we use the belief propagation with decimation. the algorithm is similar to the message passing algorithm described in , 31 . the algorithm description is presented in fig. 5, and the equations to compute the messages in fig. 4. the notation ma b is for the message passed by node a to node b. all messages have two co",NOTUTILIZE,MENTION
38953665,37552678,"ialized across many scientific disciplines, and there is a voluminous literature. mathematical and computational theorists are concerned with the basic questions and definitions of language learning ( ), with understanding the complexity of the problem (angluin, 1978; gold, 1978), or with good algorithms (berwick, 1985; rivest schapire, 1987). an excellent survey of this approach to the problem h",NOTUTILIZE,MENTION
42221349,40594562,"ion of exactly one 11 . by replacing rm with edf, we can achieve a result similar to lemma 1. b. min-delay aggregation scheduling minimum delay data aggregation problem has been proven to be np-hard , even for the case of simple one-shot query. authors in 8 , 19 , 23 , and 25 proposed a sequence of constant-ratio approximation algorithms for oqs under prim. based on the related work, we will",NOTUTILIZE,MENTION
86565350,83331902,"we have implemented our technique and made a comparison with previously proposed approaches using the ericsson 3 , system l 2 , system s 12 , asic z 1 , an extended version of asic z, and muresan . all benchmarks are also to be found at 8 . when referring to our technique, unless stated, the reported results are from using sorting based on an initial sorting of the test based on the key: t",UTILIZE,USE
134118277,119433276,"ts with ld in order to determine the severity of depressive symptoms,smean cdi or bdi scores of individuals with ld fall within the mild range ofsdepressive symptoms between 10.6 and 15 for children ( ;srodriguez routh, 1989; stevenson romney, 1984; wright-strawderman swatson, 1992). in one of these studies which included a control group, the meanscdi score of 8-13 year old children with ld di",NOTUTILIZE,NOTALGO
91992852,87745985,"nce, multimedia networks, augmented reality and mathematical visualization modeling. we also proposed a one-to-many hyperworld interaction reference model 33 by extending the dexter hypertext model . what we called the hyperworld at that time can be regarded as something like the hyperspace in this article. abowd, et al, in 1998, also called for research on correlated smart spaces, i.e.,",UTILIZE,EXTEND
121502903,109852682,low the summing of images acquired in separate imaging sessions (for improvement of signal to noise); (6) signal enhancing data analysis algorithms and statistical evaluations of signal significance; large volume data management routines (5,NOTUTILIZE,NOTALGO
30668817,31377804,"a variety of different sorts of morphological information. 1. introduction in computer vision, a variety of algorithms have been developed that generate the so-called skeleton of a depicted object 2 3 4 5 6 7 8 9 10 11 . one way to define the skeleton of an object is as the set of centres of the maximal discs that can fit inside that object while touching two or more points on its bou",NOTUTILIZE,MENTION
57037864,56368827,"cenario presented in this chapter uses a combinatorial approach, and its main originality w.r.t. the other combinatorial algorithms, which allow to extract patterns from several datasets (e.g., spexs or drim 9 ), is that the maximal support threshold is set explicitly. this is particularly interesting, when there is a clear semantic cut between a positive and negative datasets, i.e., the negativ",NOTUTILIZE,MENTION
58780362,58063666,"oint clusters that coincide with salient points of the body. several recent approaches focus on the extension of a well-established 3d registration method, the iterative closest point (icp) algorithm , to articulated models by fitting a static (non-adaptive) cylindrical human body model into 3d measurements. demirdjian et al. 6 , for example, estimate the pose of individual body parts using the i",NOTUTILIZE,MENTION
41725993,40117282,", we illustrate how case based decisions can be supported. finally, we draw our conclusions, point to issues of future work and mention some related work. this paper is an extended version of 2 and and presents the formal details of the generation, model transformation and evaluation. 2 laws, regulations, rules laws, regulations and rules determine the degree of freedom and possible boundaries",NOTUTILIZE,NOTALGO
125882099,113190957,"icki (1991) suggested that the seasonal cycle in steric height difference was too small by a factor of 2 to explain the geosat ssh difference. using the newer version of the levitus data (levitus and ), wang and koblinsky (1996) showed that the seasonal steric height variations were consistent with seasonal variations in topex poseidon ssh in the region of gulf stream recirculation. however, based",NOTUTILIZE,NOTALGO
10767995,11473311,"ollows that the sequence x (k 1) v b(x (k) )x (k) , (8) converges to a local minimum of s(x) (here denotes matrix pseudoinverse). the algorithm using this multiplicative update is called smacof . it can easily be shown to be equivalent to weighted gradient descent with constant step size x (k 1) x (k) 1 2 v s(x (k) ), (9) and if a non-weighted stress is used, it is essentially a gradie",NOTUTILIZE,MENTION
