source,citeEnd,sectionName,citeStart,string,label,label_confidence,citingPaperId,citedPaperId,isKeyCitation,id,unique_id,excerpt_index,label2,label2_confidence
explicit,13.0,3.2 Implementation,10.0,"Following [2], [3], we measure the specificness of the constituent entities of a semantic association x using the technique reviewed in Section 3.",method,,cec58d31bf7b4242bbd4f084e0aaa16e63dede72,21df322e67d5ab8cad78875669c10a0826dde9c4,True,cec58d31bf7b4242bbd4f084e0aaa16e63dede72>21df322e67d5ab8cad78875669c10a0826dde9c4,cec58d31bf7b4242bbd4f084e0aaa16e63dede72>21df322e67d5ab8cad78875669c10a0826dde9c4_3,3,,
explicit,169.0,Introduction,148.0,Another HD-Zip target gene identification study was done using micro-array analysis of transgenic Arabidopsis overexpressing Hahb-4 from sunflower (Manavella et al. 2006).,background,0.7537,e331fa1f6c62f4b6bb47f15c77c19f752a03eb0a,510ee3954bbebad58110c1d1376cafc70581ec0d,True,e331fa1f6c62f4b6bb47f15c77c19f752a03eb0a>510ee3954bbebad58110c1d1376cafc70581ec0d,e331fa1f6c62f4b6bb47f15c77c19f752a03eb0a>510ee3954bbebad58110c1d1376cafc70581ec0d_4,4,,
explicit,204.0,Discussion,190.0,"In contrast, the results were consistent with previous studies, which indicate that radial-growth response of trees to climate varied significantly with tree age (Szeicz and MacDonald 1994; Yu et al. 2008).",result,,11838a6dcc528b9e0b034db049f9671109ef07c2,1eb55917cbc85f9bda77698b6ff6d957cd6a743e,False,11838a6dcc528b9e0b034db049f9671109ef07c2>1eb55917cbc85f9bda77698b6ff6d957cd6a743e,11838a6dcc528b9e0b034db049f9671109ef07c2>1eb55917cbc85f9bda77698b6ff6d957cd6a743e_0,0,supportive,
explicit,160.0,,135.0,"Immunoprecipitation and western blot Protein extraction, western blots and immunoprecipitations were performed as previously described (Pentimalli et al., 2008).",method,0.6013000000000001,f7a458748ce8daca1930912c26285ca39a36ad82,ae68f41cc1cf623107fc3535caa245090003ba03,True,f7a458748ce8daca1930912c26285ca39a36ad82>ae68f41cc1cf623107fc3535caa245090003ba03,f7a458748ce8daca1930912c26285ca39a36ad82>ae68f41cc1cf623107fc3535caa245090003ba03_1,1,,
explicit,68.0,METHODS,64.0,"Asthma control was measured by the ACT, as previously described.(37) Self-reported healthcare seeking was elicited by asking participants how many times in the last year they had consulted HCPs regarding their asthma or needed to use emergency medical services due to their asthma (including being hospitalised, calling an ambulance, being sent to the hospital by their GP/asthma specialist doctor and staying overnight in hospital), and if they had, how many days their asthma had led them to be hospitalised in the last year.",method,,1a3a296dafbbaeb82caa73be21d363ced21f70ed,2a7feb75557b24569cddc7792e8678b23524f2a6,False,1a3a296dafbbaeb82caa73be21d363ced21f70ed>2a7feb75557b24569cddc7792e8678b23524f2a6,1a3a296dafbbaeb82caa73be21d363ced21f70ed>2a7feb75557b24569cddc7792e8678b23524f2a6_0,0,,
explicit,148.0,METHODS,138.0,"For each target force, the vertical sensitivity of the oscilloscope was adjusted so that the target line would remain 16 cm up the screen (39,40,46).",method,0.7768,f8d4caa3bf0ef1308a635de03306667c2d1842a0,ce4c42b904b1ceeaf10b95f09012055d3dbb593e,False,f8d4caa3bf0ef1308a635de03306667c2d1842a0>ce4c42b904b1ceeaf10b95f09012055d3dbb593e,f8d4caa3bf0ef1308a635de03306667c2d1842a0>ce4c42b904b1ceeaf10b95f09012055d3dbb593e_1,1,,
explicit,113.0,Introduction,90.0,"Although PPH is one of the most important types of autonomic failure in patients with PD (Jansen and Lipsitz 1995; Loew et al. 1995; Umehara et al. 2014) and related disorders (Hakusui et al. 1991; Hirayama et al. 1993; Mathias 1991), its predictors remain unclear.",background,1.0,3874a1098d1e34b107a9c4ba1a1e200070de15b0,7d253f083d75e9cba4af91751451b379fb5c37a3,True,3874a1098d1e34b107a9c4ba1a1e200070de15b0>7d253f083d75e9cba4af91751451b379fb5c37a3,3874a1098d1e34b107a9c4ba1a1e200070de15b0>7d253f083d75e9cba4af91751451b379fb5c37a3_1,1,,
explicit,377.0,1 Introduction,65.0,"My results give one way to interpret the empirical evidence from Baker et al. (2012) that suggests that fiscal policy uncertainty has been an important force behind the fall in consumption, investment, and output that we have seen during the Great Recession. In addition, my model is consistent with the relatively small effects reported by Fernández-Villaverde et al. (2012b) and Born and Pfeifer (2011) since both studies do not consider the impact of the ZLB.",result,1.0,47851e108a5855cb0fd375c9bdd039f78cc16c25,02bf68795fa74f0984701fa84df877a27dae6a2f,True,47851e108a5855cb0fd375c9bdd039f78cc16c25>02bf68795fa74f0984701fa84df877a27dae6a2f,47851e108a5855cb0fd375c9bdd039f78cc16c25>02bf68795fa74f0984701fa84df877a27dae6a2f_9,9,supportive,1.0
explicit,115.0,Results,96.0,"4). nlp-3 is expressed in many sensory neurons, including the ADFs, ASEs, ASHs, ASJs, and AWBs (Nathoo et al., 2001).",background,1.0,32af5c0d3d66c4d84609a65cfc961b03dd70bcf3,5648b00e4802ef81281f4a1f71691cd81b330aeb,True,32af5c0d3d66c4d84609a65cfc961b03dd70bcf3>5648b00e4802ef81281f4a1f71691cd81b330aeb,32af5c0d3d66c4d84609a65cfc961b03dd70bcf3>5648b00e4802ef81281f4a1f71691cd81b330aeb_4,4,,
explicit,19.0,Materials and methods,15.0,"classification [14] (type 1—short lateral lamella (1–3 mm depth), type II; has a moderate lateral lamella (4–7 mm) and",background,1.0,1687db671e909b746551c94d300609141864d4ff,b24848c5898423dfc916e7c3df6b5eda55e7dd85,True,1687db671e909b746551c94d300609141864d4ff>b24848c5898423dfc916e7c3df6b5eda55e7dd85,1687db671e909b746551c94d300609141864d4ff>b24848c5898423dfc916e7c3df6b5eda55e7dd85_1,1,,
explicit,97.0,Materials and methods,93.0,The functional status of the patients was assessed by using the Turkish version of the BASFI [13].,method,1.0,276d5784f1ae36f8183b0ff086559bc325c5b983,92148ca64ddcbe22383b78cb39002071f12f3fc7,True,276d5784f1ae36f8183b0ff086559bc325c5b983>92148ca64ddcbe22383b78cb39002071f12f3fc7,276d5784f1ae36f8183b0ff086559bc325c5b983>92148ca64ddcbe22383b78cb39002071f12f3fc7_4,4,,
explicit,248.0,Introduction,228.0,"…succinylation (Zhang et al. 2011; Park et al. 2013; Weinert et al. 2013b) in organisms from humans to bacteria, malonylation (Peng et al. 2011) and glutarylation (Tan et al. 2014) in eukaryotes, and propionylation in bacteria (Okanishi et al. 2014) were recently revealed as prevalent PTMs.",background,1.0,560c67b8d5c6e4b2809fbbd308d373366241ea86,b0fe8d2727db77f58bc430fef29aba3308ecd3f2,False,560c67b8d5c6e4b2809fbbd308d373366241ea86>b0fe8d2727db77f58bc430fef29aba3308ecd3f2,560c67b8d5c6e4b2809fbbd308d373366241ea86>b0fe8d2727db77f58bc430fef29aba3308ecd3f2_10,10,,
explicit,44.0,METHODS,41.0,The reciprocal of k is the turnover time (1) or the time interval required for the biosynthesis of an amount of NE equal to that stored in the tissue.,background,1.0,3d2b783107c45ad6b201ef09e549f161e5c2bbbb,fdc650b26cc9d9ae43b57a8fe65a1213cdb14e8c,True,3d2b783107c45ad6b201ef09e549f161e5c2bbbb>fdc650b26cc9d9ae43b57a8fe65a1213cdb14e8c,3d2b783107c45ad6b201ef09e549f161e5c2bbbb>fdc650b26cc9d9ae43b57a8fe65a1213cdb14e8c_2,2,,
explicit,188.0,,172.0,"Optimization Metrics When sampling phrase sets for text entry experiments, memorability and representativeness are two metrics that have been widely adopted by researchers [23, 25, 33, 39].",background,1.0,9501571bc1e436ce1c36d2b62fdb3c8767c93661,702757e8d5b16704d1e0a0f2351cf393110603bb,True,9501571bc1e436ce1c36d2b62fdb3c8767c93661>702757e8d5b16704d1e0a0f2351cf393110603bb,9501571bc1e436ce1c36d2b62fdb3c8767c93661>702757e8d5b16704d1e0a0f2351cf393110603bb_0,0,,
